query_id,subject_id,gene_id,gene_name,is_intron,perc_identity,num_ident_matches,alig_length,mismatches,gap_openings,n_gaps,pos_match,ppos,q_start,q_end,q_len,qcov,qcovhsp,s_start,s_end,s_len,evalue,bit_score,score_raw,gene_biotype
id_1,ENSG00000136026,ENSG00000136026,NA,I5,100,18,18,0,0,0,18,100,29,46,52,35,35,8810,8827,27542,1.7,36.2,18,NA
id_2,ENSG00000136026,ENSG00000136026,NA,I5,100,18,18,0,0,0,18,100,28,45,52,35,35,8810,8827,27542,1.7,36.2,18,NA
id_2,ENSG00000150672,ENSG00000150672,NA,I47,100,18,18,0,0,0,18,100,35,52,52,35,35,10547,10530,577009,1.7,36.2,18,NA
id_3,ENSG00000150672,ENSG00000150672,NA,I47,100,18,18,0,0,0,18,100,34,51,52,35,35,10547,10530,577009,1.7,36.2,18,NA
id_3,ENSG00000136026,ENSG00000136026,NA,I5,100,18,18,0,0,0,18,100,27,44,52,35,35,8810,8827,27542,1.7,36.2,18,NA
id_4,ENSG00000150672,ENSG00000150672,NA,I47,100,18,18,0,0,0,18,100,33,50,52,35,35,10547,10530,577009,1.7,36.2,18,NA
id_4,ENSG00000136026,ENSG00000136026,NA,I5,100,18,18,0,0,0,18,100,26,43,52,35,35,8810,8827,27542,1.7,36.2,18,NA
id_5,ENSG00000150672,ENSG00000150672,NA,I47,100,18,18,0,0,0,18,100,32,49,52,35,35,10547,10530,577009,1.7,36.2,18,NA
id_5,ENSG00000143322,ENSG00000143322,NA,I16,100,18,18,0,0,0,18,100,35,52,52,35,35,39064,39047,95946,1.7,36.2,18,NA
id_5,ENSG00000143322,ENSG00000143322,NA,I14,100,18,18,0,0,0,18,100,35,52,52,35,35,39064,39047,97839,1.7,36.2,18,NA
id_5,ENSG00000136026,ENSG00000136026,NA,I5,100,18,18,0,0,0,18,100,25,42,52,35,35,8810,8827,27542,1.7,36.2,18,NA
id_6,ENSG00000143322,ENSG00000143322,NA,I16,100,19,19,0,0,0,19,100,34,52,52,37,37,39064,39046,95946,0.44,38.2,19,NA
id_6,ENSG00000143322,ENSG00000143322,NA,I14,100,19,19,0,0,0,19,100,34,52,52,37,37,39064,39046,97839,0.44,38.2,19,NA
id_6,ENSG00000136026,ENSG00000136026,NA,I5,100,18,18,0,0,0,18,100,24,41,52,35,35,8810,8827,27542,1.7,36.2,18,NA
id_6,ENSG00000150672,ENSG00000150672,NA,I47,100,18,18,0,0,0,18,100,31,48,52,35,35,10547,10530,577009,1.7,36.2,18,NA
id_7,ENSG00000143322,ENSG00000143322,NA,I16,100,19,19,0,0,0,19,100,33,51,52,37,37,39064,39046,95946,0.44,38.2,19,NA
id_7,ENSG00000143322,ENSG00000143322,NA,I14,100,19,19,0,0,0,19,100,33,51,52,37,37,39064,39046,97839,0.44,38.2,19,NA
id_7,ENSG00000136026,ENSG00000136026,NA,I5,100,18,18,0,0,0,18,100,23,40,52,35,35,8810,8827,27542,1.7,36.2,18,NA
id_7,ENSG00000150672,ENSG00000150672,NA,I47,100,18,18,0,0,0,18,100,30,47,52,35,35,10547,10530,577009,1.7,36.2,18,NA
id_8,ENSG00000143322,ENSG00000143322,NA,I16,100,19,19,0,0,0,19,100,32,50,52,37,37,39064,39046,95946,0.44,38.2,19,NA
id_8,ENSG00000143322,ENSG00000143322,NA,I14,100,19,19,0,0,0,19,100,32,50,52,37,37,39064,39046,97839,0.44,38.2,19,NA
id_8,ENSG00000136026,ENSG00000136026,NA,I5,100,18,18,0,0,0,18,100,22,39,52,35,35,8810,8827,27542,1.7,36.2,18,NA
id_8,ENSG00000245904,ENSG00000245904,NA,I5,95.455,21,22,1,0,0,21,95.45,31,52,52,42,42,35725,35746,67150,1.7,36.2,18,NA
id_8,ENSG00000245904,ENSG00000245904,NA,I4,95.455,21,22,1,0,0,21,95.45,31,52,52,42,42,35725,35746,37443,1.7,36.2,18,NA
id_8,ENSG00000150672,ENSG00000150672,NA,I47,100,18,18,0,0,0,18,100,29,46,52,35,35,10547,10530,577009,1.7,36.2,18,NA
id_9,ENSG00000143322,ENSG00000143322,NA,I16,100,19,19,0,0,0,19,100,31,49,52,37,37,39064,39046,95946,0.44,38.2,19,NA
id_9,ENSG00000143322,ENSG00000143322,NA,I14,100,19,19,0,0,0,19,100,31,49,52,37,37,39064,39046,97839,0.44,38.2,19,NA
id_9,ENSG00000136026,ENSG00000136026,NA,I5,100,18,18,0,0,0,18,100,21,38,52,35,35,8810,8827,27542,1.7,36.2,18,NA
id_9,ENSG00000245904,ENSG00000245904,NA,I5,95.455,21,22,1,0,0,21,95.45,30,51,52,42,42,35725,35746,67150,1.7,36.2,18,NA
id_9,ENSG00000245904,ENSG00000245904,NA,I4,95.455,21,22,1,0,0,21,95.45,30,51,52,42,42,35725,35746,37443,1.7,36.2,18,NA
id_9,ENSG00000150672,ENSG00000150672,NA,I47,100,18,18,0,0,0,18,100,28,45,52,35,35,10547,10530,577009,1.7,36.2,18,NA
id_10,ENSG00000143322,ENSG00000143322,NA,I16,100,19,19,0,0,0,19,100,30,48,52,37,37,39064,39046,95946,0.44,38.2,19,NA
id_10,ENSG00000143322,ENSG00000143322,NA,I14,100,19,19,0,0,0,19,100,30,48,52,37,37,39064,39046,97839,0.44,38.2,19,NA
id_10,ENSG00000136026,ENSG00000136026,NA,I5,100,18,18,0,0,0,18,100,20,37,52,35,35,8810,8827,27542,1.7,36.2,18,NA
